Species,Where,Move,Type,Level,Tags
Vikavolt,TM/Tutor,Vice Grip,Normal,,Deleted|N
Vikavolt,TM/Tutor,Mud Slap,Ground,,Deleted|N
Vikavolt,TM/Tutor,X Scissor,Bug,,Stab|Deleted|N
Cutiefly,Level-Up,Aromatherapy,Grass,30,Deleted
Ribombee,Level-Up,Aromatherapy,Grass,32,Deleted
Toxapex,Level-Up,Venom Drench,Poison,42,Deleted
Mareanie,Level-Up,Venom Drench,Poison,40,Deleted
Wishiwashi Solo,Level-Up,Double Edge,Normal,48,Deleted
Salandit,Level-Up,Venom Drench,Poison,45,Deleted
Lurantis,TM/Tutor,Dual Chop,Dragon,,Deleted|N
Stufful,Level-Up,Double Edge,Normal,44,Stab|Deleted
Stufful,Level-Up,Baby Doll Eyes,Fairy,4,Deleted
Salazzle,Level-Up,Venom Drench,Poison,51,Deleted
Bewear,Level-Up,Double Edge,Normal,54,Stab|Deleted
Bewear,TM/Tutor,Baby Doll Eyes,Fairy,,Deleted|N
Bounsweet,Level-Up,Aromatherapy,Grass,36,Deleted
Steenee,Level-Up,Aromatherapy,Grass,46,Deleted
Tsareena,Level-Up,Aromatherapy,Grass,46,Deleted
Comfey,Level-Up,Aromatherapy,Grass,36,Deleted
Comfey,Level-Up,Flower Shield,Fairy,12,Deleted
Type: Null,Level-Up,Double Edge,Normal,55,Stab|Deleted
Type: Null,Level-Up,X Scissor,Bug,40,Deleted
Silvally,Level-Up,Double Edge,Normal,55,Stab|Deleted
Silvally,Level-Up,X Scissor,Bug,40,Deleted
Silvally,Level-Up,Multi Attack,Normal,Evo,Stab|Deleted
Hakamo-O,TM/Tutor,Autotomize,Steel,,Deleted|N
Kommo-O,TM/Tutor,Autotomize,Steel,,Deleted|N
Tapu Koko,Level-Up,Natures Madness,Fairy,55,Stab|Deleted
Tapu Lele,Level-Up,Natures Madness,Fairy,55,Stab|Deleted
Tapu Bulu,Level-Up,Natures Madness,Fairy,55,Stab|Deleted
Tapu Fini,Level-Up,Natures Madness,Fairy,55,Stab|Deleted
Lunala,Level-Up,Hyper Beam,Normal,84,Deleted
Lunala,Level-Up,Magic Coat,Psychic,49,Deleted
Buzzwole,Level-Up,Power Up Punch,Fighting,1,Stab|Deleted
Celesteela,Level-Up,Double Edge,Normal,65,Deleted
Necrozma,Level-Up,Autotomize,Steel,80,Deleted
Magearna,Level-Up,Mind Reader,Normal,42,Deleted
Magearna,Level-Up,Crafty Shield,Fairy,54,Deleted
Magearna,Level-Up,Gear Up,Steel,24,Deleted
Stakataka,Level-Up,Double Edge,Normal,70,Deleted
Naganadel,Level-Up,Growl,Normal,1,Deleted
Naganadel,Level-Up,Acid,Poison,1,Stab|Deleted
Naganadel,Level-Up,Peck,Flying,1,Deleted
Naganadel,Level-Up,Helping Hand,Normal,1,Deleted
Naganadel,Level-Up,Air Slash,Flying,1,Deleted
Naganadel,Level-Up,Dragon Pulse,Dragon,1,Stab|Deleted
Blacephalon,Level-Up,Will O Wisp,Fire,55,Deleted
Zeraora,Level-Up,Power Up Punch,Fighting,1,Deleted
Raichu Alola,TM/Tutor,Slam,Normal,,Deleted|N
Sandshrew Alola,Level-Up,Hail,Ice,42,Deleted
Sandslash Alola,TM/Tutor,Mist,Ice,,Deleted|N
Sandslash Alola,TM/Tutor,Blizzard,Ice,,Stab|Deleted|N
Sandslash Alola,TM/Tutor,Swift,Normal,,Deleted|N
Sandslash Alola,TM/Tutor,Fury Swipes,Normal,,Deleted|N
Sandslash Alola,TM/Tutor,Powder Snow,Ice,,Stab|Deleted|N
Sandslash Alola,TM/Tutor,Rollout,Rock,,Deleted|N
Sandslash Alola,TM/Tutor,Fury Cutter,Bug,,Deleted|N
Sandslash Alola,TM/Tutor,Rapid Spin,Normal,,Deleted|N
Sandslash Alola,TM/Tutor,Hail,Ice,,Deleted|N
Sandslash Alola,TM/Tutor,Iron Defense,Steel,,Deleted|N
Sandslash Alola,TM/Tutor,Gyro Ball,Steel,,Stab|Deleted|N
Sandslash Alola,TM/Tutor,Metal Burst,Steel,,Stab|Deleted|N
Sandslash Alola,TM/Tutor,Iron Head,Steel,,Stab|Deleted|N
Vulpix Alola,Level-Up,Grudge,Ghost,52,Deleted
Vulpix Alola,Level-Up,Sheer Cold,Ice,48,Stab|Deleted
Ninetales Alola,TM/Tutor,Disable,Normal,,Deleted|N
Ninetales Alola,TM/Tutor,Mist,Ice,,Deleted|N
Ninetales Alola,TM/Tutor,Ice Beam,Ice,,Stab|Deleted|N
Ninetales Alola,TM/Tutor,Aurora Beam,Ice,,Stab|Deleted|N
Ninetales Alola,TM/Tutor,Confuse Ray,Ghost,,Deleted|N
Ninetales Alola,TM/Tutor,Spite,Ghost,,Deleted|N
Ninetales Alola,TM/Tutor,Grudge,Ghost,,Deleted|N
Ninetales Alola,TM/Tutor,Extrasensory,Psychic,,Deleted|N
Ninetales Alola,TM/Tutor,Sheer Cold,Ice,,Stab|Deleted|N
Ninetales Alola,TM/Tutor,Ice Shard,Ice,,Stab|Deleted|N
Ninetales Alola,TM/Tutor,Aurora Veil,Ice,,Deleted|N
Marowak Alola,TM/Tutor,Double Edge,Normal,,Deleted|N
Marowak Alola,TM/Tutor,Mud Slap,Ground,,Deleted|N
Marowak Alola,Level-Up,Will O Wisp,Fire,36,Deleted
Zygarde 10% Forme,Level-Up,Lands Wrath,Ground,48,Stab|Deleted
Zygarde Complete Forme,Level-Up,Lands Wrath,Ground,48,Stab|Deleted
Zygarde 50% Forme,Level-Up,Lands Wrath,Ground,48,Stab|Deleted
Wishiwashi Schooling,Level-Up,Double Edge,Normal,48,Deleted
Necrozma Dusk Mane,Level-Up,Autotomize,Steel,80,Deleted
Necrozma Dawn Wings,Level-Up,Autotomize,Steel,60,Deleted
