Species,Where,Move,Type,Level,Tags
Bulbasaur,Level-Up,Double Edge,Normal,33,Deleted
Charmeleon,Level-Up,Fire Spin,Fire,42,Stab|Deleted
Wartortle,Level-Up,Skull Bash,Normal,50,Deleted
Squirtle,Level-Up,Skull Bash,Normal,36,Deleted
Blastoise,Level-Up,Skull Bash,Normal,56,Deleted
Venusaur,Level-Up,Double Edge,Normal,51,Deleted
Ivysaur,Level-Up,Double Edge,Normal,45,Deleted
Pikachu,Level-Up,Slam,Normal,28,Deleted
Raichu,TM/Tutor,Slam,Normal,,Deleted|N
Nidoqueen,TM/Tutor,Double Kick,Fighting,,Deleted|N
Nidoqueen,TM/Tutor,Bite,Dark,,Deleted|N
Nidoqueen,TM/Tutor,Toxic,Poison,,Deleted|N
Nidoqueen,TM/Tutor,Fury Swipes,Normal,,Deleted|N
Nidoqueen,TM/Tutor,Crunch,Dark,,Deleted|N
Nidoqueen,TM/Tutor,Flatter,Dark,,Deleted|N
Nidoqueen,TM/Tutor,Helping Hand,Normal,,Deleted|N
Nidoqueen,TM/Tutor,Toxic Spikes,Poison,,Deleted|N
Nidoqueen,TM/Tutor,Earth Power,Ground,,Stab|Deleted|N
Nidoking,TM/Tutor,Double Kick,Fighting,,Deleted|N
Nidoking,TM/Tutor,Horn Attack,Normal,,Deleted|N
Nidoking,TM/Tutor,Fury Attack,Normal,,Deleted|N
Nidoking,TM/Tutor,Toxic,Poison,,Deleted|N
Nidoking,TM/Tutor,Flatter,Dark,,Deleted|N
Nidoking,TM/Tutor,Helping Hand,Normal,,Deleted|N
Nidoking,TM/Tutor,Toxic Spikes,Poison,,Deleted|N
Nidoking,TM/Tutor,Poison Jab,Poison,,Stab|Deleted|N
Nidoking,TM/Tutor,Earth Power,Ground,,Stab|Deleted|N
Vulpix,Level-Up,Grudge,Ghost,52,Deleted
Ninetales,TM/Tutor,Disable,Normal,,Deleted|N
Ninetales,TM/Tutor,Fire Spin,Fire,,Stab|Deleted|N
Ninetales,TM/Tutor,Confuse Ray,Ghost,,Deleted|N
Ninetales,TM/Tutor,Fire Blast,Fire,,Stab|Deleted|N
Ninetales,TM/Tutor,Spite,Ghost,,Deleted|N
Ninetales,TM/Tutor,Safeguard,Normal,,Deleted|N
Ninetales,TM/Tutor,Will O Wisp,Fire,,Deleted|N
Ninetales,TM/Tutor,Imprison,Psychic,,Deleted|N
Ninetales,TM/Tutor,Grudge,Ghost,,Deleted|N
