Species,PokeAPIName,Move,Level,Type,Reason,SourceGen
Bulbasaur,bulbasaur,Double-Edge,33,Normal,MissingInGen9FromEarlierGen,8
Bulbasaur,bulbasaur,Growl,1,Normal,EarlyAndLaterPair,7
Bulbasaur,bulbasaur,Headbutt,,Normal,TM/HM,7
Bulbasaur,bulbasaur,Body Slam,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Take Down,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Double-Edge,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Mega Drain,,Grass,TM/HM,7
Bulbasaur,bulbasaur,Toxic,,Poison,Egg,9
Bulbasaur,bulbasaur,Reflect,,Psychic,TM/HM,7
Bulbasaur,bulbasaur,Amnesia,,Psychic,TM/HM,8
Bulbasaur,bulbasaur,Snore,,Normal,TM/HM,8
Bulbasaur,bulbasaur,Curse,,Ghost,TM/HM,9
Bulbasaur,bulbasaur,Outrage,,Dragon,TM/HM,7
Bulbasaur,bulbasaur,Giga Drain,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Endure,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Charm,,Fairy,TM/HM,9
Bulbasaur,bulbasaur,False Swipe,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Helping Hand,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Knock Off,,Dark,TM/HM,9
Bulbasaur,bulbasaur,Secret Power,,Normal,TM/HM,6
Bulbasaur,bulbasaur,Weather Ball,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Bullet Seed,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Magical Leaf,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Seed Bomb,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Leaf Storm,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Power Whip,,Grass,TM/HM,8
Bulbasaur,bulbasaur,Acid Spray,,Poison,TM/HM,9
Bulbasaur,bulbasaur,Grass Pledge,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Work Up,,Normal,TM/HM,8
Bulbasaur,bulbasaur,Grassy Terrain,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Grassy Glide,,Grass,TM/HM,9
Bulbasaur,bulbasaur,Grassy Glide,,Grass,Tutor,8
Bulbasaur,bulbasaur,Tera Blast,,Normal,TM/HM,9
Bulbasaur,bulbasaur,Trailblaze,,Grass,TM/HM,9
Ivysaur,ivysaur,Vine Whip,1,Grass,EarlyAndLaterPair,7
Ivysaur,ivysaur,Double-Edge,45,Normal,MissingInGen9FromEarlierGen,8
Ivysaur,ivysaur,Growl,1,Normal,EarlyAndLaterPair,7
Ivysaur,ivysaur,Leech Seed,1,Grass,EarlyAndLaterPair,9
Ivysaur,ivysaur,Leech Seed,9,Grass,EarlyAndLaterPair,9
Ivysaur,ivysaur,Growth,1,Normal,EarlyAndLaterPair,7
Ivysaur,ivysaur,Growth,39,Normal,EarlyAndLaterPair,7
Ivysaur,ivysaur,Headbutt,,Normal,TM/HM,7
Ivysaur,ivysaur,Body Slam,,Normal,TM/HM,9
Ivysaur,ivysaur,Take Down,,Normal,TM/HM,9
Ivysaur,ivysaur,Double-Edge,,Normal,TM/HM,9
Ivysaur,ivysaur,Roar,,Normal,TM/HM,9
Ivysaur,ivysaur,Mega Drain,,Grass,TM/HM,7
Ivysaur,ivysaur,Petal Dance,,Grass,Egg,9
Ivysaur,ivysaur,Toxic,,Poison,Egg,9
Ivysaur,ivysaur,Reflect,,Psychic,TM/HM,7
Ivysaur,ivysaur,Amnesia,,Psychic,TM/HM,8
Ivysaur,ivysaur,Snore,,Normal,TM/HM,8
Ivysaur,ivysaur,Curse,,Ghost,TM/HM,9
Ivysaur,ivysaur,Curse,,Ghost,Egg,9
Ivysaur,ivysaur,Outrage,,Dragon,TM/HM,7
Ivysaur,ivysaur,Giga Drain,,Grass,TM/HM,9
Ivysaur,ivysaur,Endure,,Normal,TM/HM,9
Ivysaur,ivysaur,Charm,,Fairy,TM/HM,9
Ivysaur,ivysaur,False Swipe,,Normal,TM/HM,9
Ivysaur,ivysaur,Helping Hand,,Normal,TM/HM,9
Ivysaur,ivysaur,Ingrain,,Grass,Egg,9
Ivysaur,ivysaur,Knock Off,,Dark,TM/HM,9
Ivysaur,ivysaur,Secret Power,,Normal,TM/HM,6
Ivysaur,ivysaur,Weather Ball,,Normal,TM/HM,9
Ivysaur,ivysaur,Bullet Seed,,Grass,TM/HM,9
Ivysaur,ivysaur,Magical Leaf,,Grass,TM/HM,9
Ivysaur,ivysaur,Seed Bomb,,Grass,TM/HM,9
Ivysaur,ivysaur,Leaf Storm,,Grass,TM/HM,9
Ivysaur,ivysaur,Power Whip,,Grass,TM/HM,8
Ivysaur,ivysaur,Acid Spray,,Poison,TM/HM,9
Ivysaur,ivysaur,Grass Pledge,,Grass,TM/HM,9
Ivysaur,ivysaur,Work Up,,Normal,TM/HM,8
Ivysaur,ivysaur,Grassy Terrain,,Grass,TM/HM,9
Ivysaur,ivysaur,Grassy Glide,,Grass,TM/HM,9
Ivysaur,ivysaur,Grassy Glide,,Grass,Tutor,8
Ivysaur,ivysaur,Tera Blast,,Normal,TM/HM,9
Ivysaur,ivysaur,Trailblaze,,Grass,TM/HM,9
Venusaur,venusaur,Vine Whip,1,Grass,EarlyAndLaterPair,7
Venusaur,venusaur,Double-Edge,51,Normal,MissingInGen9FromEarlierGen,8
Venusaur,venusaur,Growl,1,Normal,EarlyAndLaterPair,7
Venusaur,venusaur,Leech Seed,1,Grass,EarlyAndLaterPair,9
Venusaur,venusaur,Leech Seed,9,Grass,EarlyAndLaterPair,9
Venusaur,venusaur,Growth,1,Normal,EarlyAndLaterPair,7
Venusaur,venusaur,Growth,44,Normal,EarlyAndLaterPair,7
Venusaur,venusaur,Petal Dance,Evo,Grass,EarlyAndLaterPair,6
Venusaur,venusaur,Petal Dance,1,Grass,EarlyAndLaterPair,6
Venusaur,venusaur,Amnesia,1,Psychic,MissingInGen9FromEarlierGen,7
Venusaur,venusaur,Power Whip,1,Grass,EarlyAndLaterPair,9
Venusaur,venusaur,Power Whip,51,Grass,EarlyAndLaterPair,9
Venusaur,venusaur,Petal Blizzard,Evo,Grass,EarlyAndLaterPair,7
Venusaur,venusaur,Petal Blizzard,1,Grass,EarlyAndLaterPair,7
Venusaur,venusaur,Headbutt,,Normal,TM/HM,7
Venusaur,venusaur,Body Slam,,Normal,TM/HM,9
Venusaur,venusaur,Take Down,,Normal,TM/HM,9
Venusaur,venusaur,Double-Edge,,Normal,TM/HM,9
Venusaur,venusaur,Mega Drain,,Grass,TM/HM,7
Venusaur,venusaur,Petal Dance,,Grass,Egg,9
Venusaur,venusaur,Toxic,,Poison,Egg,9
Venusaur,venusaur,Reflect,,Psychic,TM/HM,7
Venusaur,venusaur,Amnesia,,Psychic,TM/HM,9
Venusaur,venusaur,Snore,,Normal,TM/HM,8
Venusaur,venusaur,Curse,,Ghost,TM/HM,9
Venusaur,venusaur,Curse,,Ghost,Egg,9
Venusaur,venusaur,Scary Face,,Normal,TM/HM,9
Venusaur,venusaur,Outrage,,Dragon,TM/HM,8
Venusaur,venusaur,Giga Drain,,Grass,TM/HM,9
Venusaur,venusaur,Endure,,Normal,TM/HM,9
Venusaur,venusaur,Charm,,Fairy,TM/HM,9
Venusaur,venusaur,False Swipe,,Normal,TM/HM,9
Venusaur,venusaur,Helping Hand,,Normal,TM/HM,9
Venusaur,venusaur,Ingrain,,Grass,Egg,9
Venusaur,venusaur,Knock Off,,Dark,TM/HM,9
Venusaur,venusaur,Secret Power,,Normal,TM/HM,6
Venusaur,venusaur,Weather Ball,,Normal,TM/HM,9
Venusaur,venusaur,Bullet Seed,,Grass,TM/HM,9
Venusaur,venusaur,Frenzy Plant,,Grass,TM/HM,9
Venusaur,venusaur,Magical Leaf,,Grass,TM/HM,9
Venusaur,venusaur,Poison Jab,,Poison,TM/HM,9
Venusaur,venusaur,Seed Bomb,,Grass,TM/HM,9
Venusaur,venusaur,Earth Power,,Ground,TM/HM,9
Venusaur,venusaur,Rock Climb,,Normal,TM/HM,8
Venusaur,venusaur,Leaf Storm,,Grass,TM/HM,9
Venusaur,venusaur,Power Whip,,Grass,TM/HM,8
Venusaur,venusaur,Acid Spray,,Poison,TM/HM,9
Venusaur,venusaur,Grass Pledge,,Grass,TM/HM,9
Venusaur,venusaur,Work Up,,Normal,TM/HM,8
Venusaur,venusaur,Petal Blizzard,,Grass,TM/HM,9
Venusaur,venusaur,Grassy Terrain,,Grass,TM/HM,9
Venusaur,venusaur,Stomping Tantrum,,Ground,TM/HM,9
Venusaur,venusaur,Stomping Tantrum,,Ground,Tutor,7
Venusaur,venusaur,Grassy Glide,,Grass,TM/HM,9
Venusaur,venusaur,Grassy Glide,,Grass,Tutor,8
Venusaur,venusaur,Terrain Pulse,,Normal,Tutor,8
Venusaur,venusaur,Tera Blast,,Normal,TM/HM,9
Venusaur,venusaur,Trailblaze,,Grass,TM/HM,9
Charmander,charmander,Growl,1,Normal,EarlyAndLaterPair,7
Charmander,charmander,Growl,4,Normal,EarlyAndLaterPair,7
Charmander,charmander,Dragon Rage,22,Dragon,MissingInGen9FromEarlierGen,7
