Species,PokeAPIName,Move,Level,Type,Reason,SourceGen
Rowlet,rowlet,Gust,1,Flying,MissingInGen9FromEarlierGen,8
Rowlet,rowlet,Growl,1,Normal,EarlyAndLaterPair,7
Rowlet,rowlet,Aerial Ace,18,Flying,MissingInGen9FromEarlierGen,8
Rowlet,rowlet,Magical Leaf,21,Grass,MissingInGen9FromEarlierGen,8
Rowlet,rowlet,Roost,11,Flying,MissingInGen9FromEarlierGen,8
Rowlet,rowlet,Air Slash,25,Flying,MissingInGen9FromEarlierGen,8
Rowlet,rowlet,Leaf Storm,43,Grass,MissingInGen9FromEarlierGen,8
Rowlet,rowlet,Leafage,3,Grass,EarlyAndLaterPair,9
Rowlet,rowlet,Take Down,,Normal,TM/HM,9
Rowlet,rowlet,Night Shade,,Ghost,TM/HM,9
Rowlet,rowlet,Double Team,,Normal,Egg,9
Rowlet,rowlet,Confuse Ray,,Ghost,TM/HM,9
Rowlet,rowlet,Haze,,Ice,TM/HM,9
Rowlet,rowlet,Swift,,Normal,TM/HM,9
Rowlet,rowlet,Snore,,Normal,TM/HM,8
Rowlet,rowlet,Giga Drain,,Grass,TM/HM,9
Rowlet,rowlet,Endure,,Normal,TM/HM,9
Rowlet,rowlet,Baton Pass,,Normal,TM/HM,8
Rowlet,rowlet,Rain Dance,,Water,TM/HM,9
Rowlet,rowlet,Helping Hand,,Normal,TM/HM,9
Rowlet,rowlet,Knock Off,,Dark,TM/HM,9
Rowlet,rowlet,Knock Off,,Dark,Egg,9
Rowlet,rowlet,Feather Dance,,Flying,TM/HM,9
Rowlet,rowlet,Air Cutter,,Flying,TM/HM,9
Rowlet,rowlet,Bullet Seed,,Grass,TM/HM,9
Rowlet,rowlet,Aerial Ace,,Flying,TM/HM,9
Rowlet,rowlet,Magical Leaf,,Grass,TM/HM,9
Rowlet,rowlet,Leaf Blade,,Grass,TM/HM,8
Rowlet,rowlet,Roost,,Flying,Egg,9
Rowlet,rowlet,Seed Bomb,,Grass,TM/HM,9
Rowlet,rowlet,Air Slash,,Flying,TM/HM,9
Rowlet,rowlet,Brave Bird,,Flying,TM/HM,9
Rowlet,rowlet,Nasty Plot,,Dark,TM/HM,9
Rowlet,rowlet,Leaf Storm,,Grass,TM/HM,9
Rowlet,rowlet,Grass Pledge,,Grass,TM/HM,9
Rowlet,rowlet,Work Up,,Normal,TM/HM,8
Rowlet,rowlet,Grassy Terrain,,Grass,TM/HM,9
Rowlet,rowlet,Grassy Glide,,Grass,TM/HM,9
Rowlet,rowlet,Grassy Glide,,Grass,Tutor,8
Rowlet,rowlet,Dual Wingbeat,,Flying,TM/HM,9
Rowlet,rowlet,Dual Wingbeat,,Flying,Tutor,8
Rowlet,rowlet,Tera Blast,,Normal,TM/HM,9
Rowlet,rowlet,Trailblaze,,Grass,TM/HM,9
Dartrix,dartrix,Gust,1,Flying,MissingInGen9FromEarlierGen,8
Dartrix,dartrix,Growl,1,Normal,EarlyAndLaterPair,7
Dartrix,dartrix,Peck,1,Flying,EarlyAndLaterPair,9
Dartrix,dartrix,Peck,9,Flying,EarlyAndLaterPair,9
Dartrix,dartrix,Astonish,1,Ghost,EarlyAndLaterPair,7
Dartrix,dartrix,Aerial Ace,18,Flying,MissingInGen9FromEarlierGen,8
Dartrix,dartrix,Magical Leaf,21,Grass,MissingInGen9FromEarlierGen,8
Dartrix,dartrix,Roost,11,Flying,MissingInGen9FromEarlierGen,8
Dartrix,dartrix,Air Slash,25,Flying,MissingInGen9FromEarlierGen,8
Dartrix,dartrix,Leaf Storm,43,Grass,MissingInGen9FromEarlierGen,8
Dartrix,dartrix,Leafage,1,Grass,EarlyAndLaterPair,8
Dartrix,dartrix,Leafage,6,Grass,EarlyAndLaterPair,8
Dartrix,dartrix,Take Down,,Normal,TM/HM,9
Dartrix,dartrix,Night Shade,,Ghost,TM/HM,9
Dartrix,dartrix,Double Team,,Normal,Egg,9
Dartrix,dartrix,Confuse Ray,,Ghost,TM/HM,9
Dartrix,dartrix,Confuse Ray,,Ghost,Egg,9
Dartrix,dartrix,Haze,,Ice,TM/HM,9
