pokemon,move,move_human,left_min_level,left_groups,right_groups
bulbasaur,double-edge,Double-Edge,33,sword-shield,scarlet-violet
charmeleon,fire-spin,Fire Spin,42,sword-shield,scarlet-violet
wartortle,skull-bash,Skull Bash,50,sword-shield,scarlet-violet
squirtle,skull-bash,Skull Bash,36,sword-shield,scarlet-violet
blastoise,skull-bash,Skull Bash,56,sword-shield,scarlet-violet
caterpie,tackle,Tackle,1,sword-shield,scarlet-violet
caterpie,string-shot,String Shot,1,sword-shield,scarlet-violet
caterpie,bug-bite,Bug Bite,9,sword-shield,scarlet-violet
venusaur,double-edge,Double-Edge,51,sword-shield,scarlet-violet
ivysaur,double-edge,Double-Edge,45,sword-shield,scarlet-violet
metapod,harden,Harden,0,sword-shield,scarlet-violet
butterfree,gust,Gust,0,sword-shield,scarlet-violet
butterfree,whirlwind,Whirlwind,20,sword-shield,scarlet-violet
butterfree,tackle,Tackle,1,sword-shield,scarlet-violet
butterfree,supersonic,Supersonic,4,sword-shield,scarlet-violet
butterfree,psybeam,Psybeam,16,sword-shield,scarlet-violet
butterfree,poison-powder,Poison Powder,12,sword-shield,scarlet-violet
butterfree,stun-spore,Stun Spore,12,sword-shield,scarlet-violet
butterfree,sleep-powder,Sleep Powder,12,sword-shield,scarlet-violet
butterfree,string-shot,String Shot,1,sword-shield,scarlet-violet
butterfree,confusion,Confusion,8,sword-shield,scarlet-violet
butterfree,harden,Harden,1,sword-shield,scarlet-violet
butterfree,safeguard,Safeguard,28,sword-shield,scarlet-violet
butterfree,tailwind,Tailwind,36,sword-shield,scarlet-violet
butterfree,air-slash,Air Slash,24,sword-shield,scarlet-violet
butterfree,bug-buzz,Bug Buzz,32,sword-shield,scarlet-violet
butterfree,bug-bite,Bug Bite,1,sword-shield,scarlet-violet
butterfree,rage-powder,Rage Powder,40,sword-shield,scarlet-violet
butterfree,quiver-dance,Quiver Dance,44,sword-shield,scarlet-violet
pikachu,slam,Slam,28,sword-shield,scarlet-violet
raichu,slam,Slam,1,sword-shield,scarlet-violet
nidoran-f,scratch,Scratch,5,sword-shield,scarlet-violet
nidoran-f,double-kick,Double Kick,25,sword-shield,scarlet-violet
nidoran-f,tail-whip,Tail Whip,10,sword-shield,scarlet-violet
nidoran-f,poison-sting,Poison Sting,1,sword-shield,scarlet-violet
nidoran-f,bite,Bite,30,sword-shield,scarlet-violet
nidoran-f,growl,Growl,1,sword-shield,scarlet-violet
nidoran-f,toxic,Toxic,40,sword-shield,scarlet-violet
nidoran-f,fury-swipes,Fury Swipes,15,sword-shield,scarlet-violet
nidoran-f,crunch,Crunch,50,sword-shield,scarlet-violet
nidoran-f,flatter,Flatter,45,sword-shield,scarlet-violet
nidoran-f,helping-hand,Helping Hand,35,sword-shield,scarlet-violet
nidoran-f,toxic-spikes,Toxic Spikes,20,sword-shield,scarlet-violet
nidoran-f,earth-power,Earth Power,55,sword-shield,scarlet-violet
nidorina,scratch,Scratch,1,sword-shield,scarlet-violet
nidorina,double-kick,Double Kick,29,sword-shield,scarlet-violet
nidorina,tail-whip,Tail Whip,1,sword-shield,scarlet-violet
nidorina,poison-sting,Poison Sting,1,sword-shield,scarlet-violet
nidorina,bite,Bite,36,sword-shield,scarlet-violet
nidorina,growl,Growl,1,sword-shield,scarlet-violet
nidorina,toxic,Toxic,50,sword-shield,scarlet-violet
nidorina,fury-swipes,Fury Swipes,15,sword-shield,scarlet-violet
nidorina,crunch,Crunch,64,sword-shield,scarlet-violet
nidorina,flatter,Flatter,57,sword-shield,scarlet-violet
nidorina,helping-hand,Helping Hand,43,sword-shield,scarlet-violet
nidorina,toxic-spikes,Toxic Spikes,22,sword-shield,scarlet-violet
nidorina,earth-power,Earth Power,71,sword-shield,scarlet-violet
nidoqueen,scratch,Scratch,1,sword-shield,scarlet-violet
nidoqueen,double-kick,Double Kick,1,sword-shield,scarlet-violet
nidoqueen,tail-whip,Tail Whip,1,sword-shield,scarlet-violet
nidoqueen,poison-sting,Poison Sting,1,sword-shield,scarlet-violet
nidoqueen,bite,Bite,1,sword-shield,scarlet-violet
nidoqueen,growl,Growl,1,sword-shield,scarlet-violet
nidoqueen,toxic,Toxic,1,sword-shield,scarlet-violet
nidoqueen,fury-swipes,Fury Swipes,1,sword-shield,scarlet-violet
nidoqueen,crunch,Crunch,1,sword-shield,scarlet-violet
nidoqueen,flatter,Flatter,1,sword-shield,scarlet-violet
nidoqueen,helping-hand,Helping Hand,1,sword-shield,scarlet-violet
nidoqueen,superpower,Superpower,0,sword-shield,scarlet-violet
nidoqueen,toxic-spikes,Toxic Spikes,1,sword-shield,scarlet-violet
nidoqueen,earth-power,Earth Power,1,sword-shield,scarlet-violet
nidoran-m,double-kick,Double Kick,25,sword-shield,scarlet-violet
nidoran-m,horn-attack,Horn Attack,30,sword-shield,scarlet-violet
nidoran-m,fury-attack,Fury Attack,15,sword-shield,scarlet-violet
nidoran-m,poison-sting,Poison Sting,1,sword-shield,scarlet-violet
nidoran-m,leer,Leer,1,sword-shield,scarlet-violet
nidoran-m,peck,Peck,5,sword-shield,scarlet-violet
nidoran-m,toxic,Toxic,40,sword-shield,scarlet-violet
nidoran-m,focus-energy,Focus Energy,10,sword-shield,scarlet-violet
nidoran-m,flatter,Flatter,45,sword-shield,scarlet-violet
nidoran-m,helping-hand,Helping Hand,35,sword-shield,scarlet-violet
nidoran-m,toxic-spikes,Toxic Spikes,20,sword-shield,scarlet-violet
nidoran-m,poison-jab,Poison Jab,50,sword-shield,scarlet-violet
nidoran-m,earth-power,Earth Power,55,sword-shield,scarlet-violet
nidoking,double-kick,Double Kick,1,sword-shield,scarlet-violet
nidoking,horn-attack,Horn Attack,1,sword-shield,scarlet-violet
nidoking,fury-attack,Fury Attack,1,sword-shield,scarlet-violet
nidoking,poison-sting,Poison Sting,1,sword-shield,scarlet-violet
nidoking,leer,Leer,1,sword-shield,scarlet-violet
nidoking,peck,Peck,1,sword-shield,scarlet-violet
nidoking,toxic,Toxic,1,sword-shield,scarlet-violet
nidoking,focus-energy,Focus Energy,1,sword-shield,scarlet-violet
nidoking,megahorn,Megahorn,0,sword-shield,scarlet-violet
nidoking,flatter,Flatter,1,sword-shield,scarlet-violet
nidoking,helping-hand,Helping Hand,1,sword-shield,scarlet-violet
nidoking,toxic-spikes,Toxic Spikes,1,sword-shield,scarlet-violet
nidoking,poison-jab,Poison Jab,1,sword-shield,scarlet-violet
nidoking,earth-power,Earth Power,1,sword-shield,scarlet-violet
nidorino,double-kick,Double Kick,29,sword-shield,scarlet-violet
nidorino,horn-attack,Horn Attack,36,sword-shield,scarlet-violet
nidorino,fury-attack,Fury Attack,15,sword-shield,scarlet-violet
nidorino,poison-sting,Poison Sting,1,sword-shield,scarlet-violet
nidorino,leer,Leer,1,sword-shield,scarlet-violet
nidorino,peck,Peck,1,sword-shield,scarlet-violet
nidorino,toxic,Toxic,50,sword-shield,scarlet-violet
nidorino,focus-energy,Focus Energy,1,sword-shield,scarlet-violet
nidorino,flatter,Flatter,57,sword-shield,scarlet-violet
nidorino,helping-hand,Helping Hand,43,sword-shield,scarlet-violet
nidorino,toxic-spikes,Toxic Spikes,22,sword-shield,scarlet-violet
nidorino,poison-jab,Poison Jab,64,sword-shield,scarlet-violet
nidorino,earth-power,Earth Power,71,sword-shield,scarlet-violet
vulpix,grudge,Grudge,52,sword-shield,scarlet-violet
ninetales,disable,Disable,1,sword-shield,scarlet-violet
ninetales,ember,Ember,1,sword-shield,scarlet-violet
ninetales,fire-spin,Fire Spin,1,sword-shield,scarlet-violet
ninetales,confuse-ray,Confuse Ray,1,sword-shield,scarlet-violet
ninetales,fire-blast,Fire Blast,1,sword-shield,scarlet-violet
ninetales,spite,Spite,1,sword-shield,scarlet-violet
ninetales,safeguard,Safeguard,1,sword-shield,scarlet-violet
ninetales,will-o-wisp,Will O Wisp,1,sword-shield,scarlet-violet
ninetales,imprison,Imprison,1,sword-shield,scarlet-violet
ninetales,grudge,Grudge,1,sword-shield,scarlet-violet
ninetales,extrasensory,Extrasensory,1,sword-shield,scarlet-violet
ninetales,nasty-plot,Nasty Plot,1,sword-shield,scarlet-violet
ninetales,incinerate,Incinerate,1,sword-shield,scarlet-violet
ninetales,inferno,Inferno,1,sword-shield,scarlet-violet
clefable,pound,Pound,1,sword-shield,scarlet-violet
clefable,growl,Growl,1,sword-shield,scarlet-violet
clefable,sing,Sing,1,sword-shield,scarlet-violet
clefable,minimize,Minimize,1,sword-shield,scarlet-violet
clefable,defense-curl,Defense Curl,1,sword-shield,scarlet-violet
clefable,splash,Splash,1,sword-shield,scarlet-violet
clefable,sweet-kiss,Sweet Kiss,1,sword-shield,scarlet-violet
clefable,charm,Charm,1,sword-shield,scarlet-violet
clefable,encore,Encore,1,sword-shield,scarlet-violet
clefable,moonlight,Moonlight,1,sword-shield,scarlet-violet
clefable,follow-me,Follow Me,1,sword-shield,scarlet-violet
clefable,cosmic-power,Cosmic Power,1,sword-shield,scarlet-violet
clefable,gravity,Gravity,1,sword-shield,scarlet-violet
clefable,healing-wish,Healing Wish,1,sword-shield,scarlet-violet
clefable,copycat,Copycat,1,sword-shield,scarlet-violet
clefable,after-you,After You,1,sword-shield,scarlet-violet
clefable,stored-power,Stored Power,1,sword-shield,scarlet-violet
clefable,disarming-voice,Disarming Voice,1,sword-shield,scarlet-violet
clefairy,minimize,Minimize,8,sword-shield,scarlet-violet
jigglypuff,play-rough,Play Rough,40,sword-shield,scarlet-violet
zubat,bite,Bite,30,sword-shield,scarlet-violet
zubat,supersonic,Supersonic,1,sword-shield,scarlet-violet
zubat,absorb,Absorb,1,sword-shield,scarlet-violet
zubat,confuse-ray,Confuse Ray,45,sword-shield,scarlet-violet
zubat,haze,Haze,35,sword-shield,scarlet-violet
zubat,leech-life,Leech Life,55,sword-shield,scarlet-violet
zubat,mean-look,Mean Look,10,sword-shield,scarlet-violet
zubat,poison-fang,Poison Fang,15,sword-shield,scarlet-violet
zubat,astonish,Astonish,5,sword-shield,scarlet-violet
